Branch,Reviews,Restaurant,Review_Date
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha 's service was very good. Food taste was pretty good,Geetham,2026-01-13
"Geetham Veg Restaurant   Vettuvankeni, ECR",Quality of food degraded over the years. Traditional tamilnadu meals quality is no more available in this resturant. High content of oil in every dish makes it unhealthy to eat at this place. Resturant management should concentrate of food quality. Service and Atmosphere is decent and fast.,Geetham,2026-03-20
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had lunch here recently and the food was truly the highlight—everything we ordered was delicious and well-prepared. However, the service left a bit to be desired. While the staff were friendly, we found ourselves waiting quite a while for …",Geetham,2026-06-02
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a good dining experience at Geetham Veg Restaurant. We ordered mushroom soup, paneer butter masala, garlic naan, and malai paneer, and everything tasted really good. The flavors were well balanced, and the dishes were fresh and …",Geetham,2026-04-19
"Geetham Veg Restaurant   Vettuvankeni, ECR","This place is an absolute flavor fiesta! 🥳 Every bite was a delightful dance on my taste buds. The food was so good, I almost hugged the chef! Seriously, it was beyond tasty and utterly delicious. 😋 A total winner! 🎉🍽️ …",Geetham,2025-12-10
"Geetham Veg Restaurant   Vettuvankeni, ECR",Service very good captain Arul Jothi waiter raju good service,Geetham,2025-12-14
"Geetham Veg Restaurant   Vettuvankeni, ECR",Silambarasi served us extremely well and was very happy with the service. Food was excellent too. All the best,Geetham,2026-04-30
"Geetham Veg Restaurant   Vettuvankeni, ECR","Very worst restaurant , it's a very bed experience .
I ordered one set poori for that they take 2 hrs to deliver.
Please don't go to this restaurant. Worst ever",Geetham,2026-03-22
"Geetham Veg Restaurant   Vettuvankeni, ECR",Food was average not as good as T Nagar and Ashok Nagar. Service was not that great. They took forever to clear the table. People who take orders are not proactive. We waited for almost 20 minutes for someone to attend to us for followup …,Geetham,2026-01-05
"Geetham Veg Restaurant   Vettuvankeni, ECR","We dined at Geetham Veg Restaurant with family and had a great time. The food was delicious and served fresh. Mr. Balamurugan, Mr. Marimuthu Capt, and Manager Praveen took such good care of us with their amazing service and smiles. We’ll be back again!",Geetham,2026-04-25
"Geetham Veg Restaurant   Vettuvankeni, ECR",Loved the food there. Idlis were soft and the sambar was tasty. Masala dosa was good too. Paneer manchurian was very good. Best starter. Excellent service by Silambarasi and Mr. Gunasekaran. This branch of Geetham is very well maintained.,Geetham,2025-12-24
"Geetham Veg Restaurant   Vettuvankeni, ECR","Lalitha
Food and the service is perfect
Very good customer care",Geetham,2026-03-09
"Geetham Veg Restaurant   Vettuvankeni, ECR","Nice ambience , clean restrooms , lovely food.. i love how they maintain their standards with consistency with respect to food.. loved their pista rose kunafa totally.. everything was delivered without delay, nice service.. overall a great experience!  ♥️💐 …",Geetham,2026-01-20
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food quality because less compared with other branch
Silambrasi service was good",Geetham,2026-04-12
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain lalitha superb service and good food supplies good caring customers,Geetham,2026-06-06
"Geetham Veg Restaurant   Vettuvankeni, ECR","Captain Lalitha , nice service good care, superb food",Geetham,2026-02-10
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha and waiter promod was very good at serving us. We orders dosa and it was dark she replaced it for us TQ geetham ❤️,Geetham,2026-03-15
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had coffee and kesari today, which are always my Geetham favorites. But I was totally disappointed with the coffee. First, they brought it very light (almost no decoction, just more milk), and the next time, it had floating coffee dust …",Geetham,2026-01-30
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain - lalitha - she was too good and service was good and meals was also nice. Had a great lunch,Geetham,2026-03-15
"Geetham Veg Restaurant   Vettuvankeni, ECR",I will give 5 star for food and ambiance but for service my rating will go to negative. I have not posted any comments for restaurant till now but after my experience in Geetham I want to post a comment. They don’t have proper crowd …,Geetham,2026-04-20
"Geetham Veg Restaurant   Vettuvankeni, ECR","Poor service. The guy at billing doesn’t have a clue in what is available
I have come to get parcel and I am waiting for 30 mins, meantime so many Swiggy person have collected and left. Such is the status of customers. I should avoid coming here again. Very bad. 30 mins and no food yet",Geetham,2026-05-09
"Geetham Veg Restaurant   Vettuvankeni, ECR",Ms.silambarasi service was so good and treated me so kindly as my relation,Geetham,2026-05-01
"Geetham Veg Restaurant   Vettuvankeni, ECR",Beat accompany to serve ever…. All the best good goin Lalitha,Geetham,2026-05-29
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food taste not good, Ordered panner platter not cooked properly, Dosa was salty... Service I don't have option to give negative it's very very worst",Geetham,2026-01-07
"Geetham Veg Restaurant   Vettuvankeni, ECR","⭐⭐⭐⭐⭐

Outstanding service by Gunasekar! His professionalism, attention to detail, and …",Geetham,2026-01-14
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha done good service for us at right time,Geetham,2025-12-22
"Geetham Veg Restaurant   Vettuvankeni, ECR",Food and service was very nice.Silambarasi who served us food was Calm and patience.Worth the penny.,Geetham,2026-05-18
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food tastes good. Very poor service.
Too many staff are standing but no one is responding",Geetham,2026-02-18
